Domain: Depots,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
user,0,0,28,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile21,,,,,,,,,,
,,,,,,,,,,
real,0,0,52,,,,,,,
user,0,0,48,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile21,,,,,,,,,,
,,,,,,,,,,
real,0,0,65,,,,,,,
user,0,0,52,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile22,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile22,,,,,,,,,,
,,,,,,,,,,
real,0,0,247,,,,,,,
user,0,0,232,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile22,,,,,,,,,,
,,,,,,,,,,
real,0,5,485,,,,,,,
user,0,5,472,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile22,,,,,,,,,,
,,,,,,,,,,
real,0,6,72,,,,,,,
user,0,6,60,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile2,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile2,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile2,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile2,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile3,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile3,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile3,,,,,,,,,,
,,,,,,,,,,
real,0,0,9,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile3,,,,,,,,,,
,,,,,,,,,,
real,0,0,12,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile4,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile4,,,,,,,,,,
,,,,,,,,,,
real,0,0,5,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile4,,,,,,,,,,
,,,,,,,,,,
real,1,28,367,,,,,,,
user,1,28,324,,,,,,,
sys,0,0,32,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile4,,,,,,,,,,
,,,,,,,,,,
real,1,27,916,,,,,,,
user,1,27,864,,,,,,,
sys,0,0,44,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile5,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile5,,,,,,,,,,
,,,,,,,,,,
real,0,0,4,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile5,,,,,,,,,,
,,,,,,,,,,
real,0,6,917,,,,,,,
user,0,6,880,,,,,,,
sys,0,0,32,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile5,,,,,,,,,,
,,,,,,,,,,
real,0,6,411,,,,,,,
user,0,6,376,,,,,,,
sys,0,0,32,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile6,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile6,,,,,,,,,,
,,,,,,,,,,
real,0,0,7,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile6,,,,,,,,,,
,,,,,,,,,,
real,3,5,111,,,,,,,
user,3,4,496,,,,,,,
sys,0,0,540,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile6,,,,,,,,,,
,,,,,,,,,,
real,3,8,886,,,,,,,
user,3,8,452,,,,,,,
sys,0,0,420,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile7,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile7,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile7,,,,,,,,,,
,,,,,,,,,,
real,0,0,5,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile7,,,,,,,,,,
,,,,,,,,,,
real,0,0,6,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
