Domain: Freecell,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile4,,,,,,,,,,
,,,,,,,,,,
real,0,0,11,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile4,,,,,,,,,,
,,,,,,,,,,
real,0,0,15,,,,,,,
user,0,0,12,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile5,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile5,,,,,,,,,,
,,,,,,,,,,
real,0,0,19,,,,,,,
user,0,0,12,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile5,,,,,,,,,,
,,,,,,,,,,
real,0,0,16,,,,,,,
user,0,0,12,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile5,,,,,,,,,,
,,,,,,,,,,
real,0,0,23,,,,,,,
user,0,0,16,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile6,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile6,,,,,,,,,,
,,,,,,,,,,
real,0,0,37,,,,,,,
user,0,0,36,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile6,,,,,,,,,,
,,,,,,,,,,
real,0,0,28,,,,,,,
user,0,0,24,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile6,,,,,,,,,,
,,,,,,,,,,
real,0,0,41,,,,,,,
user,0,0,40,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile7,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile7,,,,,,,,,,
,,,,,,,,,,
real,0,0,37,,,,,,,
user,0,0,28,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile7,,,,,,,,,,
,,,,,,,,,,
real,0,0,46,,,,,,,
user,0,0,44,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
